beds_baths_interaction,beds,baths,longitude,latitude,beds_to_baths_ratio,street_number,month_available,daysOnMarket,PhotosNum,High School Graduate (Age 25+)_ratio,nearby_subway_stations,Monthly Housing Costs,Precinct,Per Capita Income,day_available,log_monthly_housing_costs,zip,Employed_ratio,Bachelor’s Degree (Age 25+)_ratio,Median Gross Rent,median_income_scaled,Median Home Value,hasVideo,occupied_to_vacant_ratio,propertyType_rental,propertyType_condo,crime_rate,White Alone_ratio,schools_in_precinct,price_bin,price
1.0,1,1.0,-73.87828715,40.74075206,0.5,86.0,11,3.0,8,0.1739363464499405,6,1753.0,110,28239.0,23,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,0,2402.0
1.0,1,1.0,-73.89212858,40.74383724,0.5,41.0,12,4.0,8,0.2212768892925716,9,1694.0,110,38202.0,1,7.43543801981455,11377,0.5060073352725433,0.1621233199581498,1743.0,-0.5844497893802657,645900.0,1,24.74981384959047,0,0,1.387464907859604,0.3381813582901227,25,0,2400.0
0.0,0,1.0,-73.8824485,40.74656703,0.0,40.0,1,5.0,3,0.1739363464499405,6,1753.0,110,28239.0,1,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,0,0,1.387464907859604,0.1122122824455748,25,0,2000.0
6.0,3,2.0,-73.88636012,40.73628911,1.0,51.0,11,5.0,9,0.1739363464499405,0,1753.0,110,28239.0,21,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,1,3600.0
2.0,2,1.0,-73.87960981,40.74370132,1.0,42.0,11,6.0,7,0.1739363464499405,3,1753.0,110,28239.0,20,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,0,2600.0
3.0,3,1.0,-73.88334664,40.74272529,1.5,42.0,11,8.0,7,0.1739363464499405,3,1753.0,110,28239.0,18,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,0,2495.0
0.0,0,1.0,-73.88473575,40.74288314,0.0,42.0,11,8.0,3,0.1739363464499405,3,1753.0,110,28239.0,18,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,0,1,1.387464907859604,0.1122122824455748,25,0,1800.0
2.0,2,1.0,-73.88098592,40.74305773,1.0,83.0,11,10.0,7,0.1739363464499405,3,1753.0,110,28239.0,16,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,0,0,1.387464907859604,0.1122122824455748,25,0,2400.0
4.0,2,2.0,-73.89200512,40.74653796,0.6666666666666666,40.0,11,8.0,9,0.2212768892925716,9,1694.0,110,38202.0,15,7.43543801981455,11377,0.5060073352725433,0.1621233199581498,1743.0,-0.5844497893802657,645900.0,1,24.74981384959047,1,0,1.387464907859604,0.3381813582901227,25,0,2900.0
0.0,0,1.0,-73.88686657,40.74616523,0.0,40.0,11,11.0,5,0.1739363464499405,9,1753.0,110,28239.0,15,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,0,1875.0
4.0,2,2.0,-73.87290726,40.74610127,0.6666666666666666,93.0,11,14.0,9,0.1739363464499405,6,1753.0,110,28239.0,15,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,0,1,1.387464907859604,0.1122122824455748,25,1,3200.0
0.0,0,1.0,-73.88393977,40.74612664,0.0,81.0,11,20.0,7,0.1739363464499405,6,1753.0,110,28239.0,6,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,0,1965.0
1.0,1,1.0,-73.88069916,40.73592382,0.5,51.0,12,7.0,6,0.1739363464499405,3,1753.0,110,28239.0,1,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,0,2200.0
0.0,0,1.0,-73.87795496,40.73888528,0.0,85.0,11,26.0,9,0.1739363464499405,3,1753.0,110,28239.0,1,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,0,0,1.387464907859604,0.1122122824455748,25,0,1700.0
4.0,2,2.0,-73.87528526,40.73662074,0.6666666666666666,88.0,11,28.0,14,0.1739363464499405,3,1753.0,110,28239.0,15,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,0,1,1.387464907859604,0.1122122824455748,25,1,3800.0
2.0,2,1.0,-73.88451113,40.7433852,1.0,80.0,11,69.0,18,0.1739363464499405,6,1753.0,110,28239.0,1,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,0,2850.0
4.0,4,1.0,-73.8879736,40.74671252,2.0,40.0,8,466.0,4,0.1739363464499405,9,1753.0,110,28239.0,15,7.469654172932128,11373,0.5115281919351381,0.1572726032469937,1835.0,-0.6987362865732845,659200.0,1,14.463447053610988,1,0,1.387464907859604,0.1122122824455748,25,2,6500.0
1.0,1,1.0,-73.97167057,40.63386291,0.5,601.0,12,0.0,9,0.1089091355465233,0,1889.0,66,49052.0,15,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,1,0,0.9483042585557844,0.5613628304099948,21,0,2695.0
6.0,3,2.0,-73.97747559,40.64221109,1.0,388.0,11,0.0,20,0.1089091355465233,3,1889.0,66,49052.0,26,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,0,0,0.9483042585557844,0.5613628304099948,21,1,4900.0
2.0,1,2.0,-73.97270203,40.6391983,0.3333333333333333,399.0,11,3.0,6,0.1089091355465233,0,1889.0,66,49052.0,23,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,0,0,0.9483042585557844,0.5613628304099948,21,0,1800.0
2.0,1,2.0,-73.9706659,40.63264672,0.3333333333333333,272.0,11,4.0,10,0.116272369660369,0,1697.0,70,33980.0,22,7.437206366871292,11230,0.4183832899329602,0.1555321624466729,1680.0,-0.7569784437966498,859100.0,1,13.137149917627678,0,0,1.5655475741605271,0.6261842761371821,27,0,2000.0
1.0,1,1.0,-73.97375497,40.63810136,0.5,430.0,11,6.0,4,0.1089091355465233,3,1889.0,66,49052.0,20,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,1,0,0.9483042585557844,0.5613628304099948,21,0,2250.0
1.0,1,1.0,-73.97181553,40.6403928,0.5,465.0,11,11.0,6,0.1089091355465233,0,1889.0,66,49052.0,30,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,1,0,0.9483042585557844,0.5613628304099948,21,0,2475.0
1.0,1,1.0,-73.97281479,40.6463849,0.5,227.0,12,11.0,5,0.1089091355465233,0,1889.0,66,49052.0,1,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,1,0,0.9483042585557844,0.5613628304099948,21,0,2495.0
1.0,1,1.0,-73.97717523,40.63545063,0.5,638.0,12,11.0,6,0.1089091355465233,3,1889.0,66,49052.0,1,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,1,0,0.9483042585557844,0.5613628304099948,21,0,2400.0
8.0,4,2.0,-73.97030569,40.63248469,1.3333333333333333,267.0,12,18.0,20,0.116272369660369,0,1697.0,70,33980.0,1,7.437206366871292,11230,0.4183832899329602,0.1555321624466729,1680.0,-0.7569784437966498,859100.0,1,13.137149917627678,1,0,1.5655475741605271,0.6261842761371821,27,1,5000.0
2.0,2,1.0,-73.97598699,40.64338831,1.0,415.0,11,23.0,13,0.1089091355465233,3,1889.0,66,49052.0,3,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,0,0,0.9483042585557844,0.5613628304099948,21,1,3100.0
1.0,1,1.0,-73.97658906,40.64252931,0.5,392.0,10,26.0,2,0.1089091355465233,3,1889.0,66,49052.0,31,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,1,0,0.9483042585557844,0.5613628304099948,21,0,2195.0
2.0,2,1.0,-73.97057992,40.63154055,1.0,229.0,10,1.0,8,0.116272369660369,0,1697.0,70,33980.0,18,7.437206366871292,11230,0.4183832899329602,0.1555321624466729,1680.0,-0.7569784437966498,859100.0,1,13.137149917627678,1,0,1.5655475741605271,0.6261842761371821,27,0,2500.0
2.0,2,1.0,-73.96912449,40.63916244,1.0,752.0,11,29.0,17,0.1089091355465233,0,1889.0,66,49052.0,1,7.544332108053688,11218,0.4659837966120189,0.1707766169289942,1879.0,-0.2144998112174128,920900.0,1,19.323442136498517,1,0,0.9483042585557844,0.5613628304099948,21,0,2775.0
