daysOnMarket,availableFrom,street,price,borough,zip,propertyType,beds,baths,latitude,longitude,hasVideo,PhotosNum,Number of Households,Median Household Income,Per Capita Income,Total Income Distribution,Median Gross Rent,Median Home Value,Occupied Housing Units,Vacant Housing Units,"Owner-Occupied Units (value < $100,000)",Monthly Housing Costs,Precinct,schools_in_precinct,nearby_subway_stations,crime_rate,precinct_safety_rank,Median Age_ratio,Male Population_ratio,Female Population_ratio,White Alone_ratio,Black or African American Alone_ratio,Asian Alone_ratio,Hispanic or Latino_ratio,Population Below Poverty Level_ratio,Employed_ratio,Unemployed_ratio,High School Graduate (Age 25+)_ratio,Bachelor’s Degree (Age 25+)_ratio,Graduate or Professional Degree (Age 25+)_ratio,Never Married_ratio,Currently Married_ratio,Divorced_ratio
52.0,2024-10-01,625 West 156th Street #5D,2699.0,Manhattan,10032,rental,3,1.0,40.83426495,-73.94673,1,3,22285.0,56752.0,38741.0,22285.0,1519.0,593000.0,22285.0,1875.0,62.0,1515.0,33,19,3,0.8979932210478577,15,0.0006167328042328,0.5020337301587302,0.4979662698412698,0.2154100529100529,0.1686011904761905,0.0464616402116402,0.6565806878306878,0.1951719576719576,0.4801587301587302,0.0715608465608465,0.1057208994708994,0.1724867724867725,0.0160383597883597,0.2445767195767196,0.1515873015873015,0.0390046296296296
57.0,2024-09-30,714 West 181st Street #32,4000.0,Manhattan,10033,rental,3,2.0,40.85014346,-73.93661811,1,12,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,34,34,9,1.1011802769995858,29,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
61.0,2024-09-26,134 Haven Avenue #B,2975.0,Manhattan,10032,rental,3,1.0,40.84560966,-73.94273791,1,9,22285.0,56752.0,38741.0,22285.0,1519.0,593000.0,22285.0,1875.0,62.0,1515.0,33,19,3,0.8979932210478577,15,0.0006167328042328,0.5020337301587302,0.4979662698412698,0.2154100529100529,0.1686011904761905,0.0464616402116402,0.6565806878306878,0.1951719576719576,0.4801587301587302,0.0715608465608465,0.1057208994708994,0.1724867724867725,0.0160383597883597,0.2445767195767196,0.1515873015873015,0.0390046296296296
62.0,2024-09-25,523 West 158th Street #GF,2250.0,Manhattan,10032,rental,2,1.0,40.83419163,-73.94266462,1,9,22285.0,56752.0,38741.0,22285.0,1519.0,593000.0,22285.0,1875.0,62.0,1515.0,33,19,9,0.8979932210478577,15,0.0006167328042328,0.5020337301587302,0.4979662698412698,0.2154100529100529,0.1686011904761905,0.0464616402116402,0.6565806878306878,0.1951719576719576,0.4801587301587302,0.0715608465608465,0.1057208994708994,0.1724867724867725,0.0160383597883597,0.2445767195767196,0.1515873015873015,0.0390046296296296
67.0,2024-09-20,407 Audobon Avenue #5A,3000.0,Manhattan,10033,rental,3,1.0,40.85141045,-73.93002738,1,11,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,34,34,6,1.1011802769995858,29,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
49.0,2024-09-12,555 Fort Washington Avenue #2D,2250.0,Manhattan,10033,rental,1,1.0,40.85397559,-73.93757961,1,7,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,34,34,3,1.1011802769995858,29,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
77.0,2024-09-10,480 West 187th Street #3F,3250.0,Manhattan,10033,rental,2,2.0,40.85131008,-73.92749361,1,15,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,34,34,3,1.1011802769995858,29,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
66.0,2024-08-19,159-34 Riverside Drive West #3D,4350.0,Manhattan,10032,coop,2,2.0,40.83670044,-73.9484024,1,10,22285.0,56752.0,38741.0,22285.0,1519.0,593000.0,22285.0,1875.0,62.0,1515.0,33,19,3,0.8979932210478577,15,0.0006167328042328,0.5020337301587302,0.4979662698412698,0.2154100529100529,0.1686011904761905,0.0464616402116402,0.6565806878306878,0.1951719576719576,0.4801587301587302,0.0715608465608465,0.1057208994708994,0.1724867724867725,0.0160383597883597,0.2445767195767196,0.1515873015873015,0.0390046296296296
101.0,2024-09-15,455 Fort Washington Avenue #34,3100.0,Manhattan,10033,rental,2,1.0,40.85050968,-73.93879015,1,9,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,34,34,9,1.1011802769995858,29,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
6.0,2024-11-20,3255 Randall Avenue #5H,2700.0,Bronx,10465,coop,2,1.0,40.83011227,-73.81433078,1,20,16168.0,85946.0,38332.0,16168.0,1680.0,587400.0,16168.0,849.0,258.0,1884.0,45,34,0,1.2646528020729784,38,0.0008183800824858,0.4865798622357539,0.5134201377642461,0.4782880957008054,0.1553194705361577,0.0493619226533652,0.4678802012480836,0.132214808576796,0.446848480922459,0.0336637084062101,0.1498132193215434,0.1216557621299475,0.0065427220314828,0.1904731057416164,0.1666126838116214,0.022953509965235
