daysOnMarket,availableFrom,price,zip,beds,baths,latitude,longitude,hasVideo,PhotosNum,Number of Households,Median Household Income,Per Capita Income,Total Income Distribution,Median Gross Rent,Median Home Value,Occupied Housing Units,Vacant Housing Units,"Owner-Occupied Units (value < $100,000)",Monthly Housing Costs,Precinct,schools_in_precinct,nearby_subway_stations,crime_rate,precinct_safety_rank,Median Age_ratio,Male Population_ratio,Female Population_ratio,White Alone_ratio,Black or African American Alone_ratio,Asian Alone_ratio,Hispanic or Latino_ratio,Population Below Poverty Level_ratio,Employed_ratio,Unemployed_ratio,High School Graduate (Age 25+)_ratio,Bachelor’s Degree (Age 25+)_ratio,Graduate or Professional Degree (Age 25+)_ratio,Never Married_ratio,Currently Married_ratio,Divorced_ratio,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,propertyType_condo,propertyType_coop,propertyType_house,propertyType_rental,propertyType_townhouse,street_number,year_available,month_available,day_available
23.0,2024-11-15,3200.0,11375,3,2.0,40.72538,-73.851906,0,16,33312.0,103995.0,64779.0,33312.0,2046.0,559400.0,33312.0,1915.0,15.0,1816.0,112,16,3,0.7219812834248522,8,0.0005943200553103,0.4834334946551082,0.5165665053448918,0.5243179279902144,0.0332526724458863,0.2855129500611604,0.1643354783811094,0.0671967239270329,0.5196511195022071,0.0261660373344679,0.0878716162314524,0.257339254374302,0.0274956124022762,0.1362415571983194,0.2342179439451151,0.0210338775727277,0,0,1,0,0,0,0,0,0,101.0,2024,11,15
7.0,2024-11-15,2475.0,11375,1,1.0,40.71099,-73.85494,0,9,33312.0,103995.0,64779.0,33312.0,2046.0,559400.0,33312.0,1915.0,15.0,1816.0,112,16,0,0.7219812834248522,8,0.0005943200553103,0.4834334946551082,0.5165665053448918,0.5243179279902144,0.0332526724458863,0.2855129500611604,0.1643354783811094,0.0671967239270329,0.5196511195022071,0.0261660373344679,0.0878716162314524,0.257339254374302,0.0274956124022762,0.1362415571983194,0.2342179439451151,0.0210338775727277,0,0,1,0,0,0,0,0,0,97.0,2024,11,15
17.0,2024-11-15,1850.0,11375,0,1.0,40.72129,-73.85121,0,7,33312.0,103995.0,64779.0,33312.0,2046.0,559400.0,33312.0,1915.0,15.0,1816.0,112,16,0,0.7219812834248522,8,0.0005943200553103,0.4834334946551082,0.5165665053448918,0.5243179279902144,0.0332526724458863,0.2855129500611604,0.1643354783811094,0.0671967239270329,0.5196511195022071,0.0261660373344679,0.0878716162314524,0.257339254374302,0.0274956124022762,0.1362415571983194,0.2342179439451151,0.0210338775727277,0,0,1,0,0,0,0,0,0,68.0,2024,11,15
11.0,2024-11-15,2950.0,11374,2,1.0,40.72646,-73.85941,0,0,19800.0,86006.0,45357.0,19800.0,1953.0,481200.0,19800.0,1493.0,58.0,1759.0,112,16,3,0.7219812834248522,8,0.0008765615075164,0.4837814948126191,0.5162185051873809,0.4292610628837603,0.0411391065001058,0.3051238619521491,0.2212788481897099,0.1163878890535676,0.5090196908744442,0.0254287529112852,0.125111158162185,0.2320770696591149,0.0152657209400804,0.1413296633495659,0.2229726868515774,0.0235867033665043,0,0,1,0,0,0,0,0,0,6536.0,2024,11,15
11.0,2024-11-15,4700.0,11375,3,2.0,40.72507,-73.85412,0,0,33312.0,103995.0,64779.0,33312.0,2046.0,559400.0,33312.0,1915.0,15.0,1816.0,112,16,3,0.7219812834248522,8,0.0005943200553103,0.4834334946551082,0.5165665053448918,0.5243179279902144,0.0332526724458863,0.2855129500611604,0.1643354783811094,0.0671967239270329,0.5196511195022071,0.0261660373344679,0.0878716162314524,0.257339254374302,0.0274956124022762,0.1362415571983194,0.2342179439451151,0.0210338775727277,0,0,1,0,0,0,0,0,0,99.0,2024,11,15
15.0,2024-11-15,1650.0,11375,0,1.0,40.732826,-73.851906,0,0,33312.0,103995.0,64779.0,33312.0,2046.0,559400.0,33312.0,1915.0,15.0,1816.0,112,16,0,0.7219812834248522,8,0.0005943200553103,0.4834334946551082,0.5165665053448918,0.5243179279902144,0.0332526724458863,0.2855129500611604,0.1643354783811094,0.0671967239270329,0.5196511195022071,0.0261660373344679,0.0878716162314524,0.257339254374302,0.0274956124022762,0.1362415571983194,0.2342179439451151,0.0210338775727277,0,0,1,0,0,0,0,0,0,6361.0,2024,11,15
14.0,2024-11-15,2050.0,11375,1,1.0,40.731472,-73.85266,0,0,33312.0,103995.0,64779.0,33312.0,2046.0,559400.0,33312.0,1915.0,15.0,1816.0,112,16,0,0.7219812834248522,8,0.0005943200553103,0.4834334946551082,0.5165665053448918,0.5243179279902144,0.0332526724458863,0.2855129500611604,0.1643354783811094,0.0671967239270329,0.5196511195022071,0.0261660373344679,0.0878716162314524,0.257339254374302,0.0274956124022762,0.1362415571983194,0.2342179439451151,0.0210338775727277,0,0,1,0,0,0,0,0,0,102.0,2024,11,15
17.0,2024-12-15,5500.0,11375,3,3.0,40.718895,-73.85211,0,0,33312.0,103995.0,64779.0,33312.0,2046.0,559400.0,33312.0,1915.0,15.0,1816.0,112,16,0,0.7219812834248522,8,0.0005943200553103,0.4834334946551082,0.5165665053448918,0.5243179279902144,0.0332526724458863,0.2855129500611604,0.1643354783811094,0.0671967239270329,0.5196511195022071,0.0261660373344679,0.0878716162314524,0.257339254374302,0.0274956124022762,0.1362415571983194,0.2342179439451151,0.0210338775727277,0,0,1,0,0,0,1,0,0,6834.0,2024,12,15
5.0,2024-11-15,1650.0,10456,0,1.0,40.837517,-73.913124,0,4,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,44,63,3,2.4848999780528325,72,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,1358.0,2024,11,15
27.0,2024-11-15,1995.0,10456,1,1.0,40.834965,-73.91344,0,5,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,44,63,3,2.4848999780528325,72,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,1277.0,2024,11,15
