iter	Passed	Remaining
747	14469	2940
748	14482	2919
749	14497	2899
750	14521	2881
751	14542	2862
752	14563	2843
753	14581	2823
754	14605	2805
755	14620	2784
756	14635	2764
757	14647	2743
758	14669	2725
759	14693	2706
760	14717	2688
761	14738	2669
762	14761	2650
763	14784	2631
764	14805	2612
765	14817	2592
766	14832	2571
767	14853	2552
768	14873	2533
769	14895	2514
770	14917	2495
771	14937	2476
772	14961	2458
773	14983	2439
774	15028	2423
775	15046	2404
776	15066	2385
777	15089	2366
778	15111	2347
779	15135	2328
780	15157	2309
781	15177	2290
782	15196	2270
783	15217	2251
784	15240	2232
785	15257	2212
786	15272	2192
787	15290	2173
788	15308	2153
789	15328	2134
790	15349	2115
791	15370	2095
792	15390	2076
793	15410	2057
794	15432	2038
795	15452	2018
796	15475	1999
797	15492	1980
798	15514	1961
799	15534	1941
800	15553	1922
801	15576	1903
802	15590	1883
803	15612	1864
804	15629	1844
805	15649	1825
806	15664	1805
807	15684	1785
808	15702	1766
809	15723	1747
810	15745	1727
811	15759	1707
812	15775	1688
813	15796	1668
814	15811	1649
815	15833	1629
816	15847	1609
817	15868	1590
818	15884	1570
819	15906	1551
820	15921	1532
821	15941	1512
822	15963	1493
823	15984	1474
824	16009	1455
825	16028	1435
826	16050	1416
827	16066	1397
828	16086	1377
829	16108	1358
830	16135	1339
831	16181	1322
832	16206	1303
833	16226	1284
834	16244	1264
835	16256	1244
836	16276	1225
837	16292	1205
838	16316	1186
839	16339	1167
840	16362	1147
841	16383	1128
842	16405	1109
843	16419	1089
844	16439	1070
845	16462	1050
846	16478	1031
847	16498	1011
848	16519	992
849	16542	973
850	16559	953
851	16570	933
852	16591	914
853	16606	894
854	16630	875
855	16652	855
856	16674	836
857	16696	817
858	16714	797
859	16735	778
860	16756	758
861	16769	739
862	16792	719
863	16814	700
864	16832	681
865	16850	661
866	16861	641
867	16877	622
868	16897	602
869	16921	583
870	16943	564
871	16963	544
872	16985	525
873	17009	505
874	17034	486
875	17048	467
876	17067	447
877	17087	428
878	17101	408
879	17121	389
880	17141	369
881	17158	350
882	17174	330
883	17196	311
884	17216	291
885	17237	272
886	17252	252
887	17270	233
888	17294	213
889	17316	194
890	17337	175
891	17359	155
892	17379	136
893	17402	116
894	17422	97
895	17442	77
896	17457	58
897	17472	38
898	17488	19
899	17507	0
